method,regime_method,target,horizon,fold,IC,signal_IC,accuracy,balanced_accuracy,Sharpe,drawdown,turnover,total_return,n_trades,n_test_rows
global_lgbm,none,tb_label_8h,8h,1,0.062241594591022034,0.012630738339600314,0.5659722222222222,0.3448375075886884,0.721532642266453,-0.06336434182994088,0.025694444444444443,0.05064211357640502,73,1440
global_lgbm,none,tb_label_8h,8h,2,-0.06642949634387098,-0.062096271721151265,0.5902777777777778,0.3436537720763302,-3.8998715332421514,-0.2701649463396012,0.041666666666666664,-0.24030422476297342,116,1440
global_lgbm,none,tb_label_8h,8h,3,0.07979060107267906,0.05282995029591263,0.5868055555555556,0.3870697381115173,2.5515846658505006,-0.08110415215385493,0.05625,0.29616040771131447,153,1440
global_lgbm,none,tb_label_8h,8h,4,-0.02529175780277178,-0.01059685163290717,0.5604166666666667,0.3629553157237227,-0.25710759947941453,-0.1707087872594752,0.05138888888888889,-0.03440222638235557,143,1440
global_lgbm,none,tb_label_8h,8h,5,0.005044964360356505,0.049200839864533996,0.575,0.36826738466144526,2.522976371912595,-0.11600538197393356,0.050694444444444445,0.22817745953625246,142,1440
global_lgbm,none,tb_label_8h,8h,6,-0.0027873632253639256,-0.0035743306036910482,0.5791666666666667,0.38889788815996873,-1.6816317231833269,-0.2619312797896327,0.059722222222222225,-0.17843476989481355,163,1440
global_lgbm,none,tb_label_8h,8h,7,0.0015072233497860337,-0.01309840605700044,0.5951388888888889,0.3673283739627473,-1.979697992628434,-0.13024307638182842,0.06111111111111111,-0.12591420808182496,170,1440
global_lgbm,none,tb_label_8h,8h,8,-0.00488436732586436,0.013865739681133341,0.5444444444444444,0.37004863503381963,0.3982251110798836,-0.11485058211668049,0.0798611111111111,0.02726704561159088,216,1440
global_lgbm,none,tb_label_8h,8h,9,-0.005613016031663331,0.012912277289333786,0.5736111111111111,0.37544709671308135,-0.6050353631019287,-0.14690981978925124,0.06840277777777778,-0.058502754209196706,180,1440
global_lgbm,none,tb_label_8h,8h,10,0.015619620684174274,0.0028104029110353535,0.5680555555555555,0.357404365037945,-0.3096829610188417,-0.13334644465390844,0.05347222222222222,-0.034310367789174734,149,1440
global_lgbm,none,tb_label_8h,8h,11,-0.03749585679271233,-0.0034009097358633712,0.4979166666666667,0.3452038126644834,-0.5934972704081736,-0.25778119423442386,0.08958333333333333,-0.05118329755330031,247,1440
global_lgbm,none,tb_label_8h,8h,12,0.022541803851520787,0.012549763992697782,0.5875,0.3523966794496281,-0.5121850789305854,-0.11777812399728564,0.03888888888888889,-0.03723622641149926,103,1440
global_lgbm,none,tb_label_8h,8h,13,0.03233309476527129,0.07419515673645642,0.5534722222222223,0.3509800668845457,2.3689907979241376,-0.034313497754493154,0.021527777777777778,0.12090280010148313,60,1440
global_lgbm,none,tb_label_8h,8h,14,-0.0341829656517745,-0.06617704867984484,0.6472222222222223,0.3665086774705608,-4.123483280933312,-0.2229214385306214,0.034027777777777775,-0.21906990392441872,96,1440
global_lgbm,none,tb_label_8h,8h,15,0.07970162969865327,0.047029943624510594,0.5763888888888888,0.3988035760719184,0.8238622310066084,-0.17332962627046444,0.075,0.06935304539151033,202,1440
